===============Số liệu TRƯỚC chuyển đổi====================
===============Số lượng bản ghi============================
SL tờ khai          : 0 + 0
SL hàng             : 0 + 0
SL NPL tồn          : 0 + 0
Mã HQ	Mã LH	SL tờ khai	SL dòng hàng	NPL tồn
===============Số liệu SAU chuyển đổi====================
===============Số lượng bản ghi============================
SL tờ khai          : 368264 + 144
SL hàng             : 2787166 + 413
SL NPL tồn          : 83990 + 0
Mã HQ	Mã LH	SL tờ khai	SL dòng hàng	NPL tồn
01E1	XSX02	8	18	0
01IK	XSX02	9	10	0
01NV	XSX01	1	1	0
01NV	XSX02	150	417	0
01PP	XSX01	1	2	0
01PP	XSX02	79	155	0
01ZZ	XSX02	2	6	0
02B1	XSX03	1	4	0
02PG	XSX02	14	50	0
03EE	XSX02	1	4	0
03NK	XSX01	1	1	0
03NK	XSX02	28	95	0
03PJ	XSX02	12	22	0
03ZZ	XSX02	7	9	0
27F1	XSX02	7	35	0
27PE	XSX01	2	8	0
27PE	XSX02	2	9	0
27ZZ	XSX02	36	190	0
34AB	XSX02	2	6	0
34NG	XSX02	4	11	0
43K1	XSX02	30	94	0
43K1	XSX06	1	6	0
43K2	XDT10	1	2	0
43K2	XGC09	1	1	0
43K2	XSX01	1	2	0
43K2	XSX02	25	75	0
43K2	XSX05	2	198	0
43NF	NDT11	4	0	9
43NF	NKD01	28	39	12
43NF	NKD05	590	2545	2090
43NF	NSX01	80	364	82
43NF	NSX02	9035	83151	19007
43NF	NSX03	97579	755015	58442
43NF	NSX05	28	97	23
43NF	NSX06	5994	38945	4323
43NF	NSX08	2	7	0
43NF	NTA01	1	0	1
43NF	NTA04	1	0	1
43NF	NTA16	1	0	0
43NF	XGC02	85	301	0
43NF	XGC06	3	31	0
43NF	XGC09	211	865	0
43NF	XGC13	1	1	0
43NF	XKD05	13	71	0
43NF	XSX01	236	1243	0
43NF	XSX02	75223	410395	0
43NF	XSX03	118226	1139302	0
43NF	XSX05	1926	9165	0
43NF	XSX06	58651	344491	0
43NF	XSX08	43	69	0
47BA	XSX01	1	2	0
47BA	XSX02	18	49	0
