MaHQ   server                  
------ ------------------------
02LI   NULL                    
47BA   NULL                    
53BB   NULL                    
02JI   NULL                    
02PG   Server 9: 10.224.130.203
45BE   Server 1: 10.224.130.123
47QN   NULL                    
51CA   NULL                    
53BC   NULL                    
02CI   NULL                    
32KF   NULL                    
48BD   Server 1: 10.224.130.123
48BF   NULL                    
20BD   Server 1: 10.224.130.123
40BC   Server 1: 10.224.130.123
47DJ   NULL                    
13BF   NULL                    
47D1   Server 3: 10.224.130.143
50BJ   Server 1: 10.224.130.123
47NB   Server 5: 10.224.130.163
27PC   Server 1: 10.224.130.123
43PB   Server 5: 10.224.130.163
02XE   Server 7: 10.224.130.183
45BC   NULL                    

(24 rows affected)
