===============Số liệu TRƯỚC chuyển đổi====================
===============Số lượng bản ghi============================
SL tờ khai          : 182922 + 0
SL hàng             : 1738110 + 0
SL NPL tồn          : 56281 + 0
Mã HQ	Mã LH	SL tờ khai	SL dòng hàng	NPL tồn
02PG	XSX02	12	116	0
02PG	XSX03	3	33	0
02XE	XSX01	11	11	0
02XE	XSX06	30	30	0
20BD	XSX01	1	3	0
27PC	XDT10	4	13	0
27PC	XSX01	4	72	0
27PC	XSX02	57	133	0
27PC	XSX03	26	47	0
40BC	XSX01	1	1	0
43PB	XSX02	1	1	0
45BE	XSX01	7	20	0
45BE	XSX03	6	11	0
47D1	XSX01	3	10	0
47D1	XSX03	160	893	0
47D1	XTA07	1	1	0
47D1	XTA08	1	7	0
47D1	XTA14	1	3	0
47NB	NDT05	2	0	0
47NB	NDT08	2	0	0
47NB	NDT11	2	0	0
47NB	NDT16	1	0	0
47NB	NGC09	2	0	0
47NB	NGC12	3	0	0
47NB	NKD01	77	523	0
47NB	NKD04	1	1	0
47NB	NKD05	28	198	0
47NB	NKD11	1	4	0
47NB	NSX01	14353	111115	15193
47NB	NSX02	3305	36428	20190
47NB	NSX03	1203	39174	19987
47NB	NSX04	7	8	4
47NB	NSX06	1336	7165	762
47NB	NSX07	1	85	35
47NB	NSX08	29	397	110
47NB	XDT10	93	847	0
47NB	XGC01	8	49	0
47NB	XGC02	3	3	0
47NB	XGC04	1	1	0
47NB	XKD01	14	24	0
47NB	XKD05	344	8711	0
47NB	XKD08	13	95	0
47NB	XSX01	100591	953114	0
47NB	XSX02	4181	40430	0
47NB	XSX03	5816	26755	0
47NB	XSX05	893	4994	0
47NB	XSX06	50191	506417	0
47NB	XSX07	1	2	0
47NB	XSX08	83	147	0
47NB	XTA02	1	1	0
47NB	XTA04	1	1	0
47NB	XTA14	1	4	0
47NB	XTA15	2	8	0
48BD	XSX02	1	2	0
48BD	XSX03	1	1	0
50BJ	XSX01	1	1	0
===============Số liệu SAU chuyển đổi====================
===============Số lượng bản ghi============================
SL tờ khai          : 182922 + 979
SL hàng             : 1738110 + 16634
SL NPL tồn          : 56281 + 0
Mã HQ	Mã LH	SL tờ khai	SL dòng hàng	NPL tồn
02CI	XSX02	1	3	0
02JI	XDT10	44	224	0
02JI	XGC12	6	12820	0
02JI	XKD01	4	15	0
02JI	XKD05	3	10	0
02JI	XKD08	4	74	0
02JI	XSX01	258	1133	0
02JI	XSX02	223	1573	0
02JI	XSX03	80	218	0
02JI	XSX05	2	2	0
02JI	XSX06	10	80	0
02LI	XSX06	1	1	0
02PG	XSX02	12	116	0
02PG	XSX03	3	33	0
02XE	XSX01	11	11	0
02XE	XSX06	30	30	0
13BF	XSX01	5	10	0
20BD	XSX01	1	3	0
27PC	XDT10	4	13	0
27PC	XSX01	4	72	0
27PC	XSX02	57	133	0
27PC	XSX03	26	47	0
32KF	XSX01	194	270	0
40BC	XSX01	1	1	0
43PB	XSX02	1	1	0
45BC	XSX01	40	65	0
45BC	XSX02	40	60	0
45BE	XSX01	7	20	0
45BE	XSX03	6	11	0
47BA	XSX01	2	2	0
47BA	XSX03	2	2	0
47D1	XSX01	3	10	0
47D1	XSX03	160	893	0
47D1	XTA07	1	1	0
47D1	XTA08	1	7	0
47D1	XTA14	1	3	0
47DJ	XSX01	1	1	0
47DJ	XSX03	1	1	0
47DJ	XSX06	3	6	0
47NB	NDT05	2	0	0
47NB	NDT08	2	0	0
47NB	NDT11	2	0	0
47NB	NDT16	1	0	0
47NB	NGC09	2	0	0
47NB	NGC12	3	0	0
47NB	NKD01	77	523	0
47NB	NKD04	1	1	0
47NB	NKD05	28	198	0
47NB	NKD11	1	4	0
47NB	NSX01	14353	111115	15193
47NB	NSX02	3305	36428	20190
47NB	NSX03	1203	39174	19987
47NB	NSX04	7	8	4
47NB	NSX06	1336	7165	762
47NB	NSX07	1	85	35
47NB	NSX08	29	397	110
47NB	XDT10	93	847	0
47NB	XGC01	8	49	0
47NB	XGC02	3	3	0
47NB	XGC04	1	1	0
47NB	XKD01	14	24	0
47NB	XKD05	344	8711	0
47NB	XKD08	13	95	0
47NB	XSX01	100591	953114	0
47NB	XSX02	4181	40430	0
47NB	XSX03	5816	26755	0
47NB	XSX05	893	4994	0
47NB	XSX06	50191	506417	0
47NB	XSX07	1	2	0
47NB	XSX08	83	147	0
47NB	XTA02	1	1	0
47NB	XTA04	1	1	0
47NB	XTA14	1	4	0
47NB	XTA15	2	8	0
47QN	XSX01	1	1	0
47QN	XSX03	40	40	0
48BD	XSX02	1	2	0
48BD	XSX03	1	1	0
48BF	XKD05	1	7	0
48BF	XSX02	2	2	0
50BJ	XSX01	1	1	0
51CA	XSX01	5	7	0
53BB	XSX01	1	1	0
53BB	XSX06	1	2	0
53BC	XSX01	3	3	0
53BC	XSX03	1	1	0
