===============Số liệu TRƯỚC chuyển đổi====================
===============Số lượng bản ghi============================
SL tờ khai          : 0 + 0
SL hàng             : 0 + 0
SL NPL tồn          : 0 + 0
Mã HQ	Mã LH	SL tờ khai	SL dòng hàng	NPL tồn
===============Số liệu SAU chuyển đổi====================
===============Số lượng bản ghi============================
SL tờ khai          : 324697 + 156
SL hàng             : 1611548 + 1406
SL NPL tồn          : 17898 + 0
Mã HQ	Mã LH	SL tờ khai	SL dòng hàng	NPL tồn
01PR	XSX02	1	8	0
02CI	XSX01	4	8	0
02CI	XSX02	4	23	0
02CI	XTA02	1	2	0
20BB	XTA04	1	5	0
32KF	XDT10	1	1	0
32KF	XSX01	8	16	0
32KF	XSX02	44	140	0
32KF	XSX03	74	1173	0
32KF	XSX05	1	2	0
47D2	XSX01	1	2	0
47NF	NDT05	1	0	0
47NF	NDT06	1	0	0
47NF	NDT10	1	0	0
47NF	NDT11	1	0	0
47NF	NDT16	3	0	0
47NF	NGC01	3	0	0
47NF	NGC12	1	0	0
47NF	NGC13	1	0	0
47NF	NKD01	37	84	0
47NF	NKD05	23	106	0
47NF	NSX01	10069	113671	14453
47NF	NSX02	365	2648	790
47NF	NSX03	24	117	42
47NF	NSX05	1	12	10
47NF	NSX06	3407	24274	2603
47NF	NSX08	45	127	0
47NF	NTA01	2	0	0
47NF	NTA04	1	0	0
47NF	NTA11	1	0	0
47NF	NTA15	1	0	0
47NF	NTA17	1	0	0
47NF	XGC01	6	9	0
47NF	XGC08	9	283	0
47NF	XGC13	1	1	0
47NF	XKD01	3	27	0
47NF	XKD02	2	15	0
47NF	XKD08	196	4304	0
47NF	XSX01	307815	1450508	0
47NF	XSX02	863	4062	0
47NF	XSX03	55	180	0
47NF	XSX05	463	2521	0
47NF	XSX06	1251	8479	0
47NF	XSX08	38	77	0
47NF	XTA02	1	1	0
47NF	XTA04	1	29	0
47NF	XTA12	1	1	0
50BC	XSX05	1	2	0
99UU	XDT10	3	6	0
99UU	XSX02	15	30	0
