===============Số liệu TRƯỚC chuyển đổi====================
===============Số lượng bản ghi============================
SL tờ khai          : 0 + 0
SL hàng             : 0 + 0
SL NPL tồn          : 0 + 0
Mã HQ	Mã LH	SL tờ khai	SL dòng hàng	NPL tồn
===============Số liệu SAU chuyển đổi====================
===============Số lượng bản ghi============================
SL tờ khai          : 426540 + 83
SL hàng             : 2633345 + 271
SL NPL tồn          : 144865 + 0
Mã HQ	Mã LH	SL tờ khai	SL dòng hàng	NPL tồn
02JI	XGC01	83	271	0
02XE	XGC01	1	16	0
02XE	XSX06	1	2	0
27PC	XGC01	11	55	0
27PC	XSX01	3	9	0
27PC	XSX05	1	11	0
43NF	XGC01	1	1	0
47D2	XGC01	1	11	0
47D2	XSX03	1	1	0
47NB	NSX01	625	2577	24
47NB	NSX05	2	2	0
47NB	NSX06	22	70	1
47NB	XSX01	338	1345	0
47NB	XSX05	2	3	0
47XE	NDT09	9	0	0
47XE	NDT11	6	0	0
47XE	NGC07	1	0	0
47XE	NGC09	10	0	11
47XE	NGC11	1	0	57
47XE	NGC13	1	0	0
47XE	NGC14	15	0	0
47XE	NKD01	45	473	0
47XE	NKD05	10	506	0
47XE	NKD12	2	27	0
47XE	NSX01	869	5210	1855
47XE	NSX02	45268	407050	2266
47XE	NSX03	42884	945232	123252
47XE	NSX04	6271	61824	13314
47XE	NSX05	3	6	3
47XE	NSX06	2961	17904	4055
47XE	NSX08	67	164	0
47XE	NTA12	17	0	27
47XE	NTA17	1	0	0
47XE	XGC01	1524	10718	0
47XE	XGC03	1	14	0
47XE	XGC08	10	49	0
47XE	XGC13	76	231	0
47XE	XSX01	11186	46908	0
47XE	XSX02	1	2	0
47XE	XSX03	302412	1064700	0
47XE	XSX04	929	11706	0
47XE	XSX05	5545	23367	0
47XE	XSX06	4973	30482	0
47XE	XSX08	421	2652	0
47XE	XTA01	1	1	0
47XE	XTA02	10	14	0
47XE	XTA19	1	2	0
