===============Số liệu TRƯỚC chuyển đổi====================
===============Số lượng bản ghi============================
SL tờ khai          : 0
SL hàng             : 0
Mã Hải quan	Mã loại hình	Số lượng tờ khai	Số lượng dòng hàng
================MAX ID======================================
MAX ID tờ khai      : 0
===============Số liệu SAU chuyển đổi====================
===============Số lượng bản ghi============================
SL tờ khai          : 97234
SL hàng             : 336350
Mã Hải quan	Mã loại hình	Số lượng tờ khai	Số lượng dòng hàng
02F1	NCX03	1	2
02F1	NGC01	1726	4978
02F1	NGC02	3347	17631
02F1	NGC04	35	76
02F1	NGC07	1	1
02F1	NGC09	109	513
02F1	NGC13	1567	11677
02F1	NGC17	73	206
02F1	NGC18	21	241
02F1	NGC19	2852	27359
02F1	NGC20	14	646
02F1	NGC21	70	277
02F1	NGC22	52	91
02F1	XGC01	2464	5520
02F1	XGC02	14168	23249
02F1	XGC10	63	409
02F1	XGC13	248	1441
02F1	XGC18	20	38
02F1	XGC19	68	530
02F1	XGC20	2	2
02F1	XGC21	32	39
02F2	NGC01	282	1083
02F2	NGC02	4218	9281
02F2	NGC04	65	141
02F2	NGC13	1867	3685
02F2	NGC17	46	114
02F2	NGC18	57	1055
02F2	NGC19	1158	4138
02F2	NGC20	5	1633
02F2	NGC21	969	2381
02F2	XGC01	404	1067
02F2	XGC02	8854	22572
02F2	XGC13	1	3
02F2	XGC18	16	160
02F2	XGC19	484	1489
02F2	XGC20	5	14
02F3	NCX01	5599	7984
02F3	NCX02	628	2850
02F3	NCX03	12231	21925
02F3	NCX04	1913	4044
02F3	NGC01	3	3
02F3	NGC02	18	97
02F3	NGC13	1	16
02F3	NGC18	3	531
02F3	XCX01	5517	20258
02F3	XCX02	8	32
02F3	XCX04	1786	4048
02F3	XGC01	6	6
02F3	XGC02	9	11
02F3	XGC18	1	43
02XE	NCX03	1	13
02XE	NGC01	4141	41653
02XE	NGC02	5898	36426
02XE	NGC04	10	27
02XE	NGC09	4	10
02XE	NGC13	881	1577
02XE	NGC18	78	2927
02XE	NGC19	114	243
02XE	NGC20	13	500
02XE	NGC21	160	705
02XE	NGC23	14	17
02XE	XCX01	64	105
02XE	XCX04	205	315
02XE	XGC01	4652	21741
02XE	XGC02	7734	23330
02XE	XGC04	96	299
02XE	XGC13	46	124
02XE	XGC18	2	4
02XE	XGC19	21	726
02XE	XGC21	13	18
================MAX ID======================================
MAX ID tờ khai      : 10202000097234
